1	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	2	obj	_	@r1994m-words#@r1994m#65.414#65.762
2	зовут	звать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	0	root	_	@r1994m-words#@r1994m#65.762#66.11
3	Рома	Рома	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	2	nsubj	_	@r1994m-words#@r1994m#66.11#66.459
4	/	/	PUNCT	_	_	7	punct	_	@r1994m-words#@r1994m#67.229#67.488
5	а	а	CCONJ	_	_	7	cc	_	@r1994m-words#@r1994m#67.488#67.747
6	возраст	возраст	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	8	nsubj	_	@r1994m-words#@r1994m#67.747#68.006
7	надо	надо	AUX	_	Degree=Pos	2	conj	_	@r1994m-words#@r1994m#68.006#68.265
8	говорить	говорить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	7	csubj	_	@r1994m-words#@r1994m#68.265#68.524
9	?	?	PUNCT	_	_	8	punct	_	@r1994m-words#@r1994m#68.524#68.783
10	/	/	PUNCT	_	_	11	punct	_	@r1994m-words#@r1994m#69.405#69.661
11	ужас	ужас	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	8	parataxis	_	@r1994m-words#@r1994m#69.661#69.918
12	/	/	PUNCT	_	_	17	punct	_	@r1994m-words#@r1994m#70.418#70.718
13	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	17	iobj	_	@r1994m-words#@r1994m#70.718#71.018
14	двадцать	двадцать	NUM	_	Case=Acc	15	nummod:gov	_	@r1994m-words#@r1994m#71.018#71.318
15	четыре	четыре	NUM	_	Animacy=Inan|Case=Acc	17	nummod:gov	_	@r1994m-words#@r1994m#71.318#71.621
16	/	/	PUNCT	_	_	17	punct	_	@r1994m-words#@r1994m#72.986#73.243
17	амм	амм	X	_	_	8	amod	_	@r1994m-words#@r1994m#73.243#73.5
18	но	но	CCONJ	_	_	19	cc	_	@r1994m-words#@r1994m#73.5#73.757
19	иногда	иногда	ADV	_	Degree=Pos	17	conj	_	@r1994m-words#@r1994m#73.757#74.017
20	/	/	PUNCT	_	_	23	punct	_	@r1994m-words#@r1994m#74.333#74.723
21	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	23	nsubj	_	@r1994m-words#@r1994m#74.723#75.113
22	не	не	PART	_	_	23	advmod	_	@r1994m-words#@r1994m#75.113#75.503
23	Рома	Рома	PROPN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	19	obl	_	@r1994m-words#@r1994m#75.503#75.893
24	а	а	CCONJ	_	_	25	cc	_	@r1994m-words#@r1994m#75.893#76.283
25	мисс	мисс	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	23	conj	_	@r1994m-words#@r1994m#76.283#76.673
26	Коко	Коко	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	25	nmod	_	@r1994m-words#@r1994m#76.673#77.063
27	/	/	PUNCT	_	_	29	punct	_	@r1994m-words#@r1994m#77.063#77.453
28	а	а	CCONJ	_	_	29	cc	_	@r1994m-words#@r1994m#77.453#77.843
29	работаю	работать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	23	conj	_	@r1994m-words#@r1994m#77.843#78.233
30	в	в	ADP	_	_	31	case	_	@r1994m-words#@r1994m#78.233#78.623
31	клубе	клуб	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	29	obl	_	@r1994m-words#@r1994m#78.623#79.013
32	Малевич	Малевич	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	29	nsubj	_	@r1994m-words#@r1994m#79.013#79.403
33	/	/	PUNCT	_	_	36	punct	_	@r1994m-words#@r1994m#80.175#80.508
34	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	36	nsubj	_	@r1994m-words#@r1994m#80.508#80.841
35	единственный	единственный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	36	amod	_	@r1994m-words#@r1994m#80.841#81.174
36	клуб	клуб	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	32	appos	_	@r1994m-words#@r1994m#81.174#81.507
37	а	а	X	_	_	42	cc	_	@r1994m-words#@r1994m#81.507#81.84
38	/	/	PUNCT	_	_	42	punct	_	@r1994m-words#@r1994m#81.84#82.173
39	где	где	SCONJ	_	Degree=Pos	42	advmod	_	@r1994m-words#@r1994m#82.173#82.506
40	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	42	nsubj	_	@r1994m-words#@r1994m#82.506#82.839
41	себя	себя	PRON	_	Case=Acc	42	obj	_	@r1994m-words#@r1994m#82.839#83.172
42	чувствую	чувствовать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	36	conj	_	@r1994m-words#@r1994m#83.172#83.505
43	/	/	PUNCT	_	_	45	punct	_	@r1994m-words#@r1994m#83.505#83.838
44	как	как	PART	_	_	45	mark	_	@r1994m-words#@r1994m#83.838#84.171
45	а	а	X	_	Foreign=Yes	42	advcl	_	@r1994m-words#@r1994m#84.171#84.504
46	/	/	PUNCT	_	_	48	punct	_	@r1994m-words#@r1994m#84.504#84.837
47	в	в	ADP	_	_	48	case	_	@r1994m-words#@r1994m#84.837#85.17
48	семье	семья	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	42	obl	_	@r1994m-words#@r1994m#85.17#85.503
49	/	/	PUNCT	_	_	56	punct	_	@r1994m-words#@r1994m#85.503#85.836
