"1	тру	тру	ADJ	_	Animacy=|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#9.298#9.674"
"2	стори	стори	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#9.674#10.05"
"3	эээ	эээ	X	_	Foreign=Yes	_	_	_	@mt1995f-words#@mt1995f#10.05#10.426"
"4	листаю	листать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mt1995f-words#@mt1995f#10.426#10.802"
"5	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mt1995f-words#@mt1995f#10.802#11.178"
"6	инстаграм	инстаграм	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@mt1995f-words#@mt1995f#11.178#11.554"
"7	и	и	CCONJ	_	_	_	_	_	@mt1995f-words#@mt1995f#11.554#11.93"
"8	вдруг	вдруг	ADV	_	Degree=Pos	_	_	_	@mt1995f-words#@mt1995f#11.93#12.306"
"9	вижу	видеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mt1995f-words#@mt1995f#12.306#12.682"
"10	обложку	обложка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#12.682#13.058"
"11	Любовь	Любовь	PNOUN	_	Animacy=Anim|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#13.058#13.434"
"12	/	/	PUNCT	_	_	_	_	_	@mt1995f-words#@mt1995f#13.434#13.81"
"13	Аксенова	Аксенов	PNOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#13.81#14.186"
"14	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@mt1995f-words#@mt1995f#14.186#14.562"
"15	не	не	PART	_	_	_	_	_	@mt1995f-words#@mt1995f#14.562#14.938"
"16	понимала	понимать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mt1995f-words#@mt1995f#14.938#15.314"
"17	каково	какой	SCONJ	_	Case=Gen|Gender=Neut|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#15.314#15.69"
"18	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#15.69#16.066"
"19	быть	быть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@mt1995f-words#@mt1995f#16.066#16.442"
"20	одной	один	PRON	_	Case=Gen|Gender=Fem	_	_	_	@mt1995f-words#@mt1995f#16.442#16.818"
"21	тут	тут	ADV	_	Degree=Pos	_	_	_	@mt1995f-words#@mt1995f#16.818#17.194"
"22	же	же	PART	_	_	_	_	_	@mt1995f-words#@mt1995f#17.194#17.57"
"23	мчу	мчать	VERB	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#17.57#17.946"
"24	в	в	ADP	_	_	_	_	_	@mt1995f-words#@mt1995f#17.946#18.322"
"25	магазин	магазин	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mt1995f-words#@mt1995f#18.322#18.698"
"26	серьезно	серьезно	ADV	_	Degree=Pos	_	_	_	@mt1995f-words#@mt1995f#18.698#19.074"
"27	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	@mt1995f-words#@mt1995f#19.074#19.45"
"28	говорю	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mt1995f-words#@mt1995f#19.45#19.844"
